label;birth date;death date
Alwin Schroeder;1855-06-15;1928-10-17
Alwina Gossauer;None;1926-01-01
Alwina Valleria;1848-10-12;1925-02-17
Alyn Ainsworth;1924-08-24;1990-10-04
Alys Robi;1923-02-03;2011-05-28
Alí Primera;1942-10-31;1985-02-16
Amadeus Webersinke;1920-11-01;2005-05-15
Amadou Balaké;1944-03-08;2014-08-27
Amalia Mendoza;1923-07-10;2001-06-11
Amalia Molina;None;1956-07-08
Amalia Riégo;1850-03-26;1926-12-27
Amalie Christie;1913-12-21;2010-03-04
Aman Ali Khan;None;1953-02-11
Amanat Ali Khan;None;1974-09-18
Amancio D'Silva;1936-03-19;1996-07-17
Amanda Ledesma;1911-12-31;2000-02-19
Amanda Thane;1953-12-18;2012-09-01
Amar Shahid Bandhu Singh;1833-05-01;1857-08-12
Amar Singh Chamkila;1961-07-21;1988-03-08
Amar Singh Shaunki;1916-08-15;1981-08-14
Amarapu Satyanarayana;1937-04-12;2011-10-20
Amaryllis Fleming;1925-12-10;1999-07-27
Ambrogio Minoja;1752-10-22;1825-08-03
Ambrose (bandleader);1896-09-11;1971-06-11
Ambrose Campbell;1919-08-19;2006-06-22
Amie Comeaux;1976-12-04;1997-12-21
Antonio Rodríguez Ferrer;1864-08-23;1935-10-22
Antonio Rolla;1798-04-18;1837-03-19
Antonio Scotti;1866-01-25;1936-02-26
Antonio Superchi;1816-01-11;1893-07-05
Antonio Vega (singer);1957-12-16;2009-05-12
Antonio Videgain;1869-03-10;1944-02-09
Antonio de Almeida (conductor);1928-01-20;1997-02-18
Antonín Bennewitz;1833-03-26;1926-05-29
Antonín Švorc;1934-02-12;2011-02-21
Antti Koivumäki;1976-12-18;2002-07-21
António D'Andrade;1854-04-13;1942-12-18
António José de Ávila 1st Duke of Ávila and Bolama;1806-03-08;1881-05-03
António Variações;1944-12-03;1984-06-13
Antônio Carlos Jobim;1927-01-25;1994-12-08
Antônio Rafael Pinto Bandeira;1863-03-09;1896-08-28
Anura Bandaranaike;1949-02-15;2008-03-16
Anwar Pervez (musician);None;2006-06-16
Anwar Shah Kashmiri;1875-11-26;1934-05-28
Apache (rapper);1964-12-26;2010-01-22
Apichet Kittikorncharoen;1982-12-02;2007-12-09
Apollo Granforte;1886-07-20;1975-06-11
Apostolos Nikolaidis (singer);1938-06-30;1999-04-22
Arabella Goddard;1836-01-12;1922-04-06
Aracy Cortes;1904-03-31;1985-01-08
Aracy de Almeida;1914-08-19;1988-06-20
Araksia Gyulzadyan;1907-06-05;1980-10-07
Aram Asatryan;1953-03-03;2006-11-07
Aram Khachaturian;None;1978-05-01
Aram Nalbandyan;1908-01-01;1987-01-24
Aram Tigran;None;2009-08-08
Arbee Stidham;1917-02-09;1988-04-26
Arcesia;1917-02-11;1983-04-12
Archibald (musician);1916-09-14;1973-01-08
Archibald Thompson Davison;1883-10-11;1961-02-06
Archie Campbell;1914-11-07;1987-08-29
Archie Edwards;1918-09-04;1998-06-18
Archie Musick;1902-01-19;1978-04-08
Archie Semple;1928-03-31;1974-01-26
Argentino Luna;1941-06-21;2011-03-19
Ari Up;1962-01-17;2010-10-20
Arie Van de Moortel;1918-07-17;1976-05-01
Ariel Camacho;1992-08-07;2015-02-25
Ariel Ramírez;1921-09-04;2010-02-18
Arik Einstein;1939-01-03;2013-11-26
Arik Lavie;1927-03-09;2004-06-29
Aris San;1940-01-19;1992-07-25
Aristidis Moschos;None;2001-11-08
Arkady Raikin;2011-10-11;1987-12-17
Arkady Severny;1939-03-12;1980-04-12
Arkansas Woodchopper;1906-03-02;1981-06-23
Arleen Auger;1939-09-13;1993-06-10
Armand-Louis Couperin;1727-02-25;1789-02-02
Armand (singer);1946-04-10;2015-11-19
Armand Crabbé;1883-04-23;1947-07-24
Armand Hug;1910-12-06;1977-03-19
Armand J. Piron;1888-08-16;1943-02-17
Armand Tokatyan;1894-06-16;1960-06-12
Armande de Polignac;1876-01-08;1962-04-29
Armandinho (fado guitarist);1891-10-11;1946-12-21
Armando (producer);1970-02-12;1996-12-17
Armando Bini;1887-10-01;1954-10-31
Armando Borgioli;1898-03-19;1945-01-20
Armando Chin Yong;1958-07-06;2011-02-02
Armando José Fernandes;1906-07-26;1983-05-03
Armando Molero;1899-01-20;1971-02-05
Armando Peraza;1924-05-30;2014-04-14
Armando Zeferino Soares;None;2007-04-03
Armas Otto Väisänen;1890-04-09;1969-07-18
Armes Beaumont;1842-12-15;1913-07-17
Arne Bakker;1930-02-18;2009-10-09
Arne Bendiksen;1926-10-19;2009-03-26
Arne Bjørndal;1882-02-11;1965-01-11
Arne Eggen;1881-08-28;1955-10-26
Arne Hendriksen;1911-01-01;1996-11-05
Arne Svendsen;1884-12-11;1958-11-20
Arnett Cobb;1918-08-10;1989-03-24
Arnie Lawrence;1938-07-10;2005-04-22
Arno Babajanian;1921-01-22;1983-11-11
Arnold Ap;1946-07-01;1984-04-26
Arnold Azrikan;1906-02-23;1976-07-19
Arnold Eidus;1922-11-28;2013-06-03
Arnold Fishkind;1919-07-20;1999-09-06
Arnold Krug;1849-10-16;1904-08-14
Arnold Matters;1904-04-11;1990-09-21
Arnold Mendelssohn;1855-12-26;1933-02-18
Arnold Rimpau;1856-06-05;1936-01-02
Arnold Safroni-Middleton;1873-09-03;1950-11-07
Arnold Schering;1877-04-02;1941-03-07
Arnold Walter;1902-08-30;1973-10-06
Arnold van Mill;1921-03-26;1996-10-05
Arnold von Uissigheim;None;1336-11-14
Arrigo Pedrollo;1878-12-05;1964-12-23
Arrigo Pola;1919-07-05;1999-11-03
Arrow (musician);1949-11-16;2010-09-15
Arsen Dedić;1938-07-28;2015-08-17
Arsenio Rodríguez;1911-08-31;1970-12-30
Art Blakey;1919-10-11;1990-10-16
Art Christmas;1905-12-22;1961-09-24
Art Davis;1934-12-05;2007-07-29
Art Farmer;1928-08-21;1999-10-04
Art Fowler (actor);None;1953-04-04
Art Hickman;1886-06-13;1930-01-16
Art Hodes;1904-11-14;1993-03-04
Art Jarrett;1907-07-20;1987-07-23
Art Lassiter;1928-01-27;1994-08-04
Art Mardigan;1923-02-12;1977-06-06
Art Mooney;1911-02-11;1993-09-09
Art Murphy;1942-01-25;2006-11-19
Art Pepper;1925-09-01;1982-06-15
Art Porter Jr.;1961-08-03;1996-11-23
Art Satherley;1889-10-19;1986-02-10
Art Tatum;1909-10-13;1956-11-05
Art Taylor;1929-04-06;1995-02-06
Art Thieme;1941-07-09;2015-05-26
Art Van Damme;1920-04-09;2010-02-15
Art Wood;1937-07-07;2006-11-03
Artemi Ayvazyan;1902-06-26;1975-11-14
Arthur Big Boy Spires;1912-02-25;1990-10-22
Arthur Guitar Boogie Smith;1921-04-01;2014-04-03
Arthur T-Boy Ross;1949-02-28;1996-05-30
Arthur Alexander;1940-05-10;1993-06-09
Arthur Altman;None;1994-01-18
Arthur B. Singer;1917-12-04;1990-06-07
Arthur Briggs (musician);1899-04-09;1991-07-15
Arthur Butterworth;1923-08-04;2014-11-20
Arthur Carron;1900-12-12;1967-05-10
Arthur Catterall;1883-05-25;1943-11-28
Arthur Coleridge;1830-02-01;1913-10-29
Arthur Collins (singer);1864-02-07;1933-08-03
Arthur Conley;1946-01-04;2003-11-17
Arthur Coquard;1846-05-26;1910-08-20
Arthur Crudup;1905-08-24;1974-03-28
Arthur Doyle;1944-06-26;2014-01-25
Arthur Eaglefield Hull;1876-03-10;1928-11-04
Arthur Fiedler;1894-12-17;1979-07-10
Arthur Foxton Ferguson;1866-01-03;1920-11-02
Arthur Freed;1894-09-09;1973-04-12
Arthur Gershwin;1900-03-14;1981-11-19
Arthur Grumiaux;1921-03-21;1986-10-16
Arthur Hartmann;1881-07-22;1956-03-30
Arthur Herzog Jr.;None;1983-09-01
Arthur Ivan Allin;1847-12-03;1926-01-31
Arthur J. Lamb;1870-08-12;1928-08-10
Arthur Jenkins (musician);1936-12-07;2009-01-28
Arthur Johnston (composer);1898-01-10;1954-05-01
Arthur Judson;1881-02-17;1975-01-28
Arthur Kane;1949-02-03;2004-07-13
Arthur Laurents;1917-07-14;2011-05-05
Arthur Lee Red Smiley;1925-05-17;1972-01-02
Arthur Lee (musician);1945-03-07;2006-08-03
Arthur Loesser;1894-08-26;1969-01-05
Arthur Louis;1945-06-21;2014-12-24
Arthur Lyman;1932-02-02;2002-02-24
Arthur M. Schlesinger Jr.;1917-10-15;2007-02-28
Arthur Marshall (composer);1881-11-20;1968-08-18
Arthur Middleton (bass-baritone);1880-11-28;1929-02-16
Arthur Napoleão dos Santos;1843-03-06;1925-05-12
Arthur Newman;None;2000-08-06
Arthur Owen Jensen;1907-08-05;1997-05-07
Arthur Playfair;1869-10-20;1918-08-28
Arthur Rhames;1957-10-25;1989-12-27
Arthur Roberts (comedian);1852-09-21;1933-02-27
Arthur Russell (musician);1951-05-21;1992-04-04
Arthur Schwartz;1900-11-25;1984-09-03
Arthur Siegel;1923-12-31;1994-09-13
Arthur Tracy;1899-06-25;1997-10-05
Arthur Trappier;1910-05-28;1975-05-17
Arthur W. Lehman;1917-09-24;2009-06-19
Arthur Whetsol;1905-02-22;1940-05-01
Arthur Williams (Elevator Bandit);1946-09-26;2010-07-11
Arthur von Oettingen;1836-03-28;1920-09-05
Artie Bernstein;1909-02-04;1964-01-04
Artie Hall;None;1906-04-18
Artie Shapiro;1916-01-15;2003-03-24
Artie Shaw;1910-05-23;2004-12-30
Artie Singer;1919-02-01;2008-05-02
Artie Traum;1943-04-03;2008-07-20
Artur Beul;1915-12-09;2010-01-09
Artur Erikson;1918-03-05;2000-08-05
Artur Kapp;1878-02-28;1952-01-14
Arturo Zambo Cavero;1940-11-29;2009-10-09
Arturo Cadore;1877-09-15;1929-06-25
Arturo Somohano;1910-09-01;1977-03-23
Arun Paudwal;None;1991-11-01
Arun Sarnaik;1935-10-04;1984-06-21
Arun Thapa;None;1999-07-22
Aruna Lama;1945-09-09;1998-02-04
Arv Garrison;1922-08-17;1960-07-30
Arvell Shaw;1923-09-15;2002-12-05
Arvid Andersen;None;1970-10-31
Arvid Gram Paulsen;1922-01-04;1963-04-11
Arvid Nilssen;1913-12-25;1976-03-24
Ary Barroso;1903-11-07;1964-02-09
Arístides Chavier Arévalo;1867-09-03;1942-07-23
As'ad Madani;1928-04-27;2006-02-06
Asa Martin;['1900-06-25', '1900-06-28'];1979-08-15
Asa Singh Mastana;1927-08-22;1999-05-23
Asad Ali Khan;None;2011-06-14
None;1955-09-25;2007-04-08
Asadata Dafora;1890-08-04;1965-03-04
Asankhan Dzhumakhmatov;1923-06-16;2008-06-21
Ascanio Trombetti;1544-11-27;1590-09-21
Asep Sunandar Sunarya;1955-09-03;2014-03-31
Asgari Bai;None;2006-08-09
Ashenafi Kebede;None;['1998-05-05', '1998-05-08']
Ashley Lawrence (musician);1934-06-05;1990-05-07
Ashok Ranade;1937-11-25;2011-07-30
Ashutosh Bhattacharya;1917-03-17;2004-02-08
Asmahan;1912-11-25;1944-07-14
Asprilio Pacelli;None;1623-05-04
Assi Rahbani;1923-05-04;1986-06-21
Astor Piazzolla;1921-03-11;1992-07-04
Atahualpa Yupanqui;1908-01-31;1992-05-23
Atanas Badev;1860-01-14;1908-09-21
Atareta Maxwell;None;2007-01-16
Attia Sharara;1922-11-18;2014-06-15
Attik;1885-03-19;1944-08-29
Attila Zoller;1927-06-13;1998-01-25
Attilio Parelli;1874-05-31;1944-12-26
Atto Melani;1626-03-30;1714-01-04
Aube (musician);None;2013-09-25
Aubrey Cummings;None;2010-04-14
Aubrey Lyles;1884-01-08;1932-07-28
Audie Pitre;1970-10-05;1997-01-23
Audrey Arno;1942-03-07;2012-06-09
Audrey Auld-Mezera;1964-01-14;2015-08-09
Audrey Williams;1923-02-28;1975-11-04
August Baeyens;1895-06-05;1966-07-17
August Bohlin;1877-07-07;1949-05-19
August Conradi;1821-06-27;1873-05-26
August Davidov;1823-12-15;1885-12-22
August Ferdinand Anacker;1790-10-17;1854-08-21
August Kindermann;1817-02-06;1891-03-06
August Nölck;1862-01-09;1928-12-12
August Stradal;1860-05-17;1930-03-13
August Wenzinger;1905-11-14;1996-12-25
August Wilhelm Bach;1796-10-04;1869-04-15
August von Othegraven;1864-06-02;1946-03-11
Auguste Barbereau;1799-11-14;1879-07-14
Auguste Clésinger;1814-10-22;1883-01-05
Auguste Franchomme;1808-04-10;1884-01-21
Auguste Mathieu Panseron;1796-04-26;1859-07-29
Auguste and Louis Lumière;1862-10-19;1954-04-10
Augustin Barié;1883-11-15;1915-08-22
Augusto Algueró;1934-02-23;2011-01-16
Augusto Martelli;1940-03-15;2014-11-03
Augusto Rodríguez (musician);1904-02-09;1993-01-05
Augustus Frederic Christopher Kollmann;1756-03-21;1829-04-19
Augustus Pablo;1954-06-21;1999-05-18
Augustus Stephen Vogt;1861-08-14;1926-09-17
Augustyn Bloch;1929-08-13;2006-04-06
Aunt Molly Jackson;None;1960-09-01
Aura Lewis;1947-03-04;2015-12-28
Aurelian Andreescu;1942-05-12;1986-07-22
Aureliano Pertile;1885-11-09;1952-01-11
Aurelio Fierro;1923-09-13;2005-03-11
Aurelio Giorni;1895-09-15;1938-09-23
Aurèle Nicolet;1926-01-22;2016-01-29
Austin Peralta;1990-10-25;2012-11-21
Austin Pitre;1918-02-23;1981-04-08
Austin Van Catterton Sr.;1913-01-26;1993-10-04
Autry Inman;1929-01-06;1988-09-06
Avelino Cachafeiro;1899-05-26;1972-04-13
Avery Parrish;1917-01-24;1959-12-10
Avinash Vyas;1912-07-21;1984-08-20
Avril Coleridge-Taylor;1903-03-08;1998-12-21
Awad Hamed al-Bandar;1945-01-02;2007-01-15
Awalmir;None;1982-04-24
Awilda Carbia;1938-01-30;['2009-03-22', '2009-03-23']
Axel Gade;1860-05-28;1921-11-09
Axel Stordahl;1913-08-08;1963-08-30
Ayinde Bakare;None;1972-10-01
Ayinde Barrister;1948-02-09;2010-12-16
Ayla Dikmen;1944-03-25;1990-08-20
Ayten Alpman;1929-10-10;2012-04-20
Azam Khan (singer);1950-02-28;2011-06-05
Azat Abbasov;1925-01-19;2006-10-11
Azean Irdawaty;1950-02-27;2013-12-17
Azer Bülbül;None;['2012-01-06', '2012-01-07']
Aziz Mian;1942-04-17;2000-12-06
Aziz Sattar;['1925-08-08', '1925-08-25'];2014-05-06
AJ Carothers;1931-10-22;2007-04-09
AK 47 Mayanja;1990-06-19;2015-03-16
Aage Haugland;1944-02-01;2000-12-23
Aage Samuelsen;1915-01-23;1987-11-29
Aarno Raninen;1944-04-27;2014-09-03
Aaron-Carl Ragland;1973-08-19;2010-09-30
Aaron Bell;1921-04-24;2003-07-28
Aaron Collins;1930-09-03;1997-03-27
Aaron McMillan;1977-02-11;2007-05-14
Aaron Richmond;1895-10-28;1965-04-21
Aaron Schroeder;1926-09-07;2009-12-02
Aaron Scotus;None;1052-12-14
Aarudhra;1925-08-31;1998-06-04
Aase Nordmo Løvberg;1923-06-10;2013-01-25
Ab Fafié;1941-03-04;2012-11-27
Abbas I of Persia;1571-01-27;1629-01-19
Abbas Kamandi;None;2014-05-21
Abbasuddin Ahmed;1901-10-27;1959-12-30
Abbey Lincoln;1930-08-06;2010-08-14
Abbie Mitchell;1884-09-25;1960-03-16
Abdel Halim Hafez;1929-06-21;1977-03-30
Abdoulreza Soudbakhsh;None;2010-09-21
Abdul Alim (folk singer);1931-07-27;['1974-09-05', '1975-09-05']
Abdul Hakim Ansari;1893-07-29;1977-01-23
Abdul Karim Khan;1872-11-11;1937-10-27
Abdul Kerim al-Qubrusi;1957-11-11;2012-06-30
Abdul Latif (musician);None;2005-02-26
Abdul Muis;1886-07-03;1959-06-17
Abdul Rahim Sarban;None;1993-04-02
Abdul Rashid Khan;1908-08-19;2016-02-18
Abe Aaron;1910-01-27;1970-01-31
Abe Lyman;1897-08-04;1957-10-23
Abe Olman;1887-12-20;1984-01-04
Abel Baer;1893-03-16;1976-10-05
Abel Stearns;1798-02-09;1871-08-23
Abelardo Barroso;1905-09-21;1972-09-27
Abing;1893-08-17;1950-12-04
Abner Silver;1899-12-28;1966-11-24
Abolhasan Saba;1902-04-15;1957-12-19
Abraham Afewerki;1966-01-30;2006-10-07
Abraham Hirsch;1815-08-16;1900-02-23
Abraham Pandithar;1859-08-02;1919-08-31
Abraham Schadaeus;None;1626-10-10
Abram Lufer;1905-08-25;1948-07-13
Abu Talib (musician);1939-02-24;2009-10-08
Abul Hasan Ali Hasani Nadwi;1914-11-24;1999-12-31
Ace Harris;1910-04-01;1964-06-11
Achille-Félix Montaubry;None;1898-10-02
Achille Baquet;1885-11-15;1956-11-20
Achille De Bassini;1819-05-05;1881-07-03
Achille Errani;1823-08-20;1897-01-06
Achille Fortier;1864-10-23;1939-08-19
Achille Graffigna;1816-05-05;1896-07-19
Achille Peri;1812-12-20;1880-03-28
Achille Rivarde;1865-10-31;1940-03-31
Achille Simonetti;1857-06-12;1928-11-19
Acker Bilk;1929-01-28;2014-11-02
Ada Brown;1890-05-01;['1950-03-30', '1950-03-31']
Ada Cherry Kearton;1877-07-17;1966-01-19
Ada Falcón;1905-08-17;2002-01-04
Ada Jones;1873-06-01;1922-05-02
Ada Leonard;1915-07-22;1997-11-29
Ada Reeve;1874-03-03;1966-10-05
Ada Sari;1886-06-29;1968-07-12
Adam Aston;1902-09-17;1993-01-10
Adam Carse;1878-05-19;1958-11-02
Adam Drese;None;1701-02-15
Adam Faith;1940-06-23;2003-03-08
Adam Gumpelzhaimer;None;1625-11-03
Adam Krieger;1634-01-07;1666-06-30
Adam Malik;1917-07-22;1984-09-05
Adam Nayyar;None;2008-07-29
Adam Yauch;1964-08-05;2012-05-04
Adamo Didur;None;1946-01-07
Addie Graham;None;1978-04-01
Addison Farmer;1928-08-21;1963-02-20
Adelaide Bishop;1928-06-23;2008-06-20
Adelaide Borghi-Mamo;1826-08-09;1901-09-29
Adelaide Hall;1901-10-20;1993-11-07
Adelaide Malanotte;None;1832-12-31
Adelaide Phillipps;1833-10-26;1882-10-03
Adelaide von Skilondz;None;1969-04-05
Adele Girard;1913-06-25;1993-09-07
Adele Marcus;1906-02-22;1995-05-03
Adele aus der Ohe;1861-02-11;['1937-12-07', '1937-12-08']
Adelina Stehle;1860-06-30;1945-12-24
Adelina de Lara;1872-01-23;1961-11-25
Adella Prentiss Hughes;1869-11-29;1950-08-02
Adi Lukovac;None;2006-06-18
Adila Fachiri;1889-02-26;1962-12-15
Adnan Şenses;1935-08-21;2013-12-25
Adolf Bernhard Marx;1795-03-15;1866-05-17
Adolf Eduard Marschner;1819-03-05;1853-09-09
Adolf Gustaaf Lembong;1910-10-19;1950-01-23
Adolf Kozieradski;1835-06-30;1901-11-14
Adolf Krössing;1848-01-05;1933-01-28
Adolf Pollitzer;1832-07-23;1900-11-14
Adolf Rebner;1876-11-21;1967-06-19
Adolf Sandberger;1864-12-19;1943-01-14
Adolf Zander;1843-01-16;1914-08-01
Adolfo Guzmán;['1913-01-31', '1920-05-13'];['1976-07-30', '1977-12-24']
Adolph Brodsky;None;1929-01-22
Adolph Deutsch;1897-10-20;1980-01-01
Adolph Francis Alphonse Bandelier;1840-08-06;1914-03-18
Adolph Hofner;1916-06-08;2000-06-02
Adolph Jacobs;1939-04-15;2014-07-23
Adolphe-Joseph-Louis Alizard;1814-12-29;1850-01-23
Adolphe Biarent;1871-10-16;1916-02-04
Adolphe Maréchal;1867-09-26;1935-02-01
Adrian Beers;1916-01-06;2004-04-08
Adrian Borland;1957-12-06;1999-04-26
Adrian Fisher (musician);1952-09-02;2000-03-31
Adrian Rollini;1903-06-28;1956-05-15
Adriana Guerrini;1907-09-22;1970-04-24
Adriano Correia de Oliveira;1942-04-09;1982-10-16
Adrianus Valerius;None;1625-01-27
Adrien-François Servais;1807-06-06;1866-11-26
Adrien Barthe;1828-07-07;1898-08-13
Adrienne Clostre;1921-10-09;2006-08-05
Adrienne Cooper;1946-09-01;2011-12-25
Adrián Guida;1965-03-26;1994-12-12
Adyar K. Lakshman;1933-12-16;2014-08-19
Adán Sánchez;1984-04-14;2004-03-27
Adèle Isaac;1854-01-08;1915-10-22
Adélard Joseph Boucher;1835-06-28;1912-11-16
Afrasiyab Badalbeyli;1907-04-19;1976-01-06
Afro Poli;1902-12-22;1988-02-22
Agathe Uwilingiyimana;1953-05-23;1994-04-07
Agathe von Trapp;1913-03-12;2010-12-28
Aghasalim Childagh;1930-02-01;2008-04-08
Agide Jacchia;1875-01-05;1932-11-29
Agnes Bernelle;1923-03-07;1999-02-15
Agnieszka Truskolaska;None;1831-11-30
Agostinho dos Santos;1932-04-25;1973-07-11
Agostino Accorimboni;1739-08-28;1818-08-13
Agustarello Affré;1858-10-23;1931-12-27
Agustín Barboza;1913-05-05;1998-12-18
Agustín Bardi;1884-08-13;1941-04-21
Agustín Magaldi;1898-12-01;1938-09-08
Ahamed Mohiyudheen Noorishah Jeelani;1915-10-08;1990-11-03
Ahmad Tajuddin;1913-08-22;1950-06-03
Ahmad Zahir;1946-06-14;1979-06-14
Ahmed Abdul-Malik;1927-01-30;1993-10-02
Ahmed Agdamski;1884-01-05;1954-04-01
Ahmed Fouad Negm;1929-05-22;2013-12-03
Ahmed Ghulamali Chagla;1902-05-31;1953-02-05
Ahmed Kuftaro;None;2004-09-01
Ahmed Rushdi;1934-04-24;1983-04-11
Ahmet Ertegun;1923-07-31;2006-12-14
Ahmet Kaya;1957-10-28;2000-11-16
Aida Diestro;1924-12-21;1973-10-28
Aida Stucki;1921-02-19;2011-06-09
Airini Nga Roimata Grennell;1910-02-11;1988-12-08
Aisha Abd al-Rahman;None;1998-12-01
Ajit Roy;1938-06-29;2011-09-04
Ajjada Adibhatla Narayana Dasu;1864-08-31;1945-01-02
Akagündüz Kutbay;1934-08-17;1979-08-27
Akhlaq Ahmed;1946-05-08;1999-08-04
Akhtar Sadmani;1934-01-02;2003-12-30
Akhteruzzaman Elias;1943-02-12;1997-01-04
Aki Sirkesalo;1962-07-25;2004-12-26
Akiko Futaba;1915-02-02;2011-08-16
Akmal Khan;1929-11-11;['1967-06-11', '1967-11-06']
Akshaya Mohanty;1934-10-12;2002-11-17
Al Cake Wichard;1919-08-15;1959-11-14
Al Aarons;1932-03-23;2015-11-17
Al Alberts;1922-08-10;2009-11-27
Al Arsenault;1938-04-06;2007-05-15
Al Belletto;1928-01-03;2014-12-26
Al Bernard;1888-11-23;1949-03-06
Al Bowlly;1898-01-07;1941-04-17
Al Casey (rock & roll guitarist);1936-10-26;2006-09-17
Al Cass;1923-09-07;1989-08-23
Al Cherney;1932-11-01;1989-08-25
Al Cohn;1925-11-24;1988-02-15
Al Coury;1934-10-21;2013-08-08
Al De Lory;1930-01-31;2012-02-05
Al Debbo;1924-06-22;2011-07-13
Al Dexter;1905-05-04;1984-01-28
Al Downing (musician);1940-01-09;2005-07-04
Al Gallodoro;1913-06-20;2008-10-04
Al Gay;1928-02-25;2013-10-12
Al Goodhart;1905-01-26;1955-11-30
Al Goodman (singer);1943-03-30;2010-07-27
Al Grey;1925-06-06;2000-03-24
Al Haig;1922-07-19;1982-11-16
Al Hall (musician);1915-03-18;1988-01-18
Al Harewood;1923-06-03;2014-03-13
Al Hibbler;1915-08-16;2001-04-24
Al Hirt;1922-11-07;1999-04-27
Al Hopkins;None;1932-10-21
Al Jackson Jr.;1935-11-27;1975-10-01
Al Johnson (musician);1948-02-11;2013-10-26
Al Jones;1945-10-31;2008-06-01
Al Killian;1916-10-15;1950-09-05
Al Klink;1915-12-28;1991-03-07
Al Lerner (composer);1919-04-07;2014-01-19
Al Levitt;1932-11-11;1994-11-28
Al Lewis (lyricist);1901-04-18;1967-04-04
Al Lucas (musician);1916-11-16;1983-07-19
Al Martino;1927-10-07;2009-10-13
Al Morgan (musician);1908-08-19;1974-04-14
Al Piantadosi;1882-08-18;1955-04-08
Al Rinker;1907-12-20;1982-06-11
Al Sack;1911-01-03;1947-12-06
Al Sherman;1897-09-07;1973-09-16
Al Singer;['1906-09-06', '1909-09-06'];1961-04-20
Al Stillman;1906-06-26;1979-02-17
Al Timothy;1915-07-05;2000-12-08
Al Trace;1900-12-25;1993-08-31
Al Viola;1919-06-16;2007-02-21
Al Wilson (singer);1939-06-19;2008-04-21
Aladdin (performer);1912-09-12;1970-06-09
Aladár Pege;1939-10-08;2006-09-23
Alain Bashung;1947-12-01;2009-03-14
Alain Marion;1938-12-25;1998-08-16
Alain Vanzo;1928-04-02;2002-01-27
Alakbar Taghiyev;1924-04-28;1981-04-16
Alam Lohar;None;1979-07-03
Alan Barton;1953-09-16;1995-03-23
Alan Blakley;1942-04-01;1996-07-01
Alan Blyth;1929-07-27;2007-08-14
Alan Branscombe;1936-06-04;1986-10-27
Alan Breeze;1909-10-09;1980-01-15
Alan Caddy;1940-02-02;2000-08-16
Alan Clare;1921-05-31;1993-11-29
Alan Crofoot;1929-06-02;1979-03-05
Alan Dale (singer);1925-07-09;2002-04-20
Alan Dargin;1967-07-13;2008-02-24
Alan Dawson;1929-07-14;1996-02-23
Alan Detweiler;1926-06-15;2012-02-25
Alan Gordon (songwriter);1944-04-22;2008-11-22
Alan Gowen;1947-08-19;1981-05-17
Alan Gray;1855-12-23;1935-09-27
Alan Harverson;1922-08-16;2006-01-31
Alan Hazeldine;1948-07-05;2008-11-10
Alan Heyman;1931-03-16;2014-03-01
Alan Hull;1945-02-20;1995-11-17
Alan Jay Lerner;1918-08-31;1986-06-14
Alan Krueck;1939-11-15;2010-06-24
Alan Langford;1928-02-28;2011-02-02
Alan Littlejohn;1928-01-04;1996-11-12
Alan Lomax;1915-01-31;2002-07-19
Alan Murphy;1953-11-18;1989-10-19
Alan Myers (drummer);None;2013-06-24
Alan O'Day;1940-10-03;2013-05-17
Alan P. Merriam;1923-11-01;1980-03-14
Alan Rowlands;1929-03-01;2012-01-02
Alan Rubin;1943-02-11;2011-06-08
Alan Shulman;1915-06-04;2002-07-10
Alan Spenner;1948-05-07;1991-08-11
Alan Stone (opera director);1929-04-28;2008-07-09
Alan Turnbull (drummer);1943-11-23;2014-08-28
Alan Tyson;1926-10-27;2000-11-10
Alan Wilson (musician);1943-07-04;1970-09-03
Alasdair Clayre;1935-10-09;1984-01-10
Alasdair Gillies;1963-12-06;2011-08-27
Alastair (Baron Hans Henning Voigt);1887-10-20;1969-10-30
Alauddin al-Kahar;None;1571-09-28
Bob Carroll (singer/actor);1918-06-08;1994-11-12
Baligh Hamdi;1932-10-07;1993-09-17
Bally Prell;1922-09-14;1982-03-20
Balthasar Linsinger;None;1986-10-19
Bana (singer);1932-03-05;['2013-07-10', '2013-07-13']
Banda Kanakalingeshwara Rao;1907-01-20;1968-12-03
Bande Ali Mia;1906-01-17;1979-06-27
Bandhavanna Varobhas;1875-05-25;1891-05-15
Bandi Rajan Babu;1938-02-09;2011-08-25
Bandi Sailu;None;2000-07-15
Bandinello Sauli;None;1518-03-29
Bandsman Jack Blake;None;1960-09-02
Bandō Kakitsu I;None;1893-03-18
Bandō Mitsugorō III;None;1831-12-27
